hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
motel6 PHOENIX WEST,1530 N 52ND DR,PHOENIX,AZ,85043,6022720220
motel6 NASHVILLE - GOODLETTSVILLE,323 CARTWRIGHT ST,GOODLETTSVILLE,TN,37072,6158599674
motel6 TACOMA SOUTH,1811 S 76TH ST,TACOMA,WA,98408,2534737100
motel6 SEATTLE SOUTH,20651 MILITARY RD,SEATTLE,WA,98198,2068249902
motel6 SANTA ANA,1623 E 1ST ST,SANTA ANA,CA,92701,7145580500
motel6 MEDFORD NORTH,2400 BIDDLE RD,MEDFORD,OR,97504,5417790550
motel6 RENO AIRPORT - SPARKS,2405 VICTORIAN AVE,SPARKS,NV,89431,7753581080
motel6 ALBUQUERQUE - COORS ROAD,6015 ILIFF RD NW,ALBUQUERQUE,NM,87121,5058313400
motel6 TEMECULA - HISTORIC OLD TOWN,41900 MORENO RD,TEMECULA,CA,92590,9516767199
motel6 WASHINGTON DC NORTHEAST - LAUREL,3510 OLD ANNAPOLIS RD,LAUREL,MD,20724,3014971544
motel6 MINNEAPOLIS NORTH - ROSEVILLE,2300 CLEVELAND AVE N,ROSEVILLE,MN,55113,6516393988
motel6 ELKTON MD,223 BELLE HILL RD,ELKTON,MD,21921,4103925020
motel6 CHICAGO NORTHWEST - ROLLING MEADOWS,1800 WINNETKA CIRCLE,ROLLING MEADOWS,IL,60008,8478188088
motel6 ORLANDO - WINTER PARK,5300 ADANSON RD,ORLANDO,FL,32810,4076471444
motel6 FLAGSTAFF WEST - WOODLAND VILLAGE,2745 S WOODLANDS VILLAGE,FLAGSTAFF,AZ,86001,9287793757
motel6 ANAHEIM - FULLERTON EAST,1440 N STATE COLLEGE BLV,ANAHEIM,CA,92806,7149569690
motel6 SACRAMENTO CENTRAL,7850 COLLEGE TOWN DR,SACRAMENTO,CA,95826,9163838110
motel6 SAN JOSE AIRPORT,2081 N 1ST ST,SAN JOSE,CA,95131,4084368180
motel6 DENVER WEST WHEAT RIDGE - NORTH,9920 W 49TH AVE,WHEAT RIDGE,CO,80033,3034240658
motel6 LOS ANGELES - BALDWIN PARK,14510 GARVEY AVE,BALDWIN PARK,CA,91706,6269605011
motel6 LOS ANGELES - ROWLAND HEIGHTS - POMONA,18970 E LABIN CT,ROWLAND HEIGHTS,CA,91748,6269645333
motel6 OAKLAND AIRPORT,8480 EDES AVE,OAKLAND,CA,94621,5106381180
motel6 LOS ANGELES - HARBOR CITY,820 W SEPULVEDA BLVD,HARBOR CITY,CA,90710,3105499560
motel6 CHINO - LOS ANGELES AREA,12266 CENTRAL AVE,CHINO,CA,91710,9095913877
motel6 CHICAGO O'HARE - SCHILLER PARK,9408 LAWRENCE AVE,SCHILLER PARK,IL,60176,8476714282
motel6 CARLSBAD - VILLAGE,1006 CARLSBAD VILLAGE DR,CARLSBAD,CA,92008,7604347135
motel6 BAKERSFIELD EAST,8223 E BRUNDAGE LN,BAKERSFIELD,CA,93307,6613667231
motel6 SAN DIEGO NORTH,5592 CLAIREMONT MESA BLV,SAN DIEGO,CA,92117,8582689758
motel6 HARTFORD - SOUTHINGTON,625 QUEEN ST,SOUTHINGTON,CT,06489,8606217351
motel6 MONTEREY - MARINA,100 RESERVATION RD,MARINA,CA,93933,8313841000
motel6 CHICAGO - ELK GROVE,1601 OAKTON ST,ELK GROVE VILLAGE,IL,60007,8479819766
motel6 YUMA EAST,1445 E 16TH ST,YUMA,AZ,85365,9287829521
motel6 HARTFORD - WETHERSFIELD,1341 SILAS DEANE HIGHWAY,WETHERSFIELD,CT,06109,8605635900
motel6 MESA SOUTH,1511 S COUNTRY CLUB DR,MESA,AZ,85210,4808340066
motel6 FAIRFIELD NORTH CA,1473 HOLIDAY LN,FAIRFIELD,CA,94534,7074254565
motel6 CHICAGO NORTH - GLENVIEW,1535 MILWAUKEE AVE,GLENVIEW,IL,60025,8473907200
motel6 LOS ANGELES - SAN DIMAS,502 W ARROW HWY,SAN DIMAS,CA,91773,9095925631
motel6 SAN DIEGO - CHULA VISTA,745 E ST,CHULA VISTA,CA,91910,6194224200
motel6 ROHNERT PARK,6145 COMMERCE BLVD,ROHNERT PARK,CA,94928,7075858888
motel6 SAN DIEGO - EL CAJON,550 MONTROSE CT,EL CAJON,CA,92020,6195886100
motel6 SACRAMENTO SOUTH,7407 ELSIE AVE,SACRAMENTO,CA,95828,9166896555
motel6 ESCONDIDO,900 N QUINCE ST,ESCONDIDO,CA,92025,7607459252
motel6 CHICAGO NORTH CENTRAL - ARLINGTON HGTS,441 W ALGONQUIN RD,ARLINGTON HEIGHTS,IL,60005,8478061230
motel6 PINOLE,1501 FITZGERALD DR,PINOLE,CA,94564,5102228174
motel6 FREMONT NORTH,34047 FREMONT BLVD,FREMONT,CA,94555,5107934848
motel6 VENTURA SOUTH,3075 JOHNSON DR,VENTURA,CA,93003,8056500080
motel6 SPRINGFIELD - CHICOPEE,36 JOHNNY CAKE HOLLOW RD,CHICOPEE,MA,01020,4135925141
motel6 SUNNYVALE NORTH,775 N MATHILDA AVE,SUNNYVALE,CA,94086,4087364595
motel6 BUENA PARK KNOTTS BERRY FARM DISNEYLAND,7051 VALLEY VIEW ST,BUENA PARK,CA,90620,7145221200
motel6 NASHUA,2 PROGRESS AVENUE,NASHUA,NH,03062,6038894151
motel6 ANAHEIM MAINGATE,100 WEST DISNEY WAY,ANAHEIM,CA,92802,7145209696
motel6 LEOMINSTER,48 COMMERCIAL ROAD,LEOMINSTER,MA,01453,9785378161
motel6 TALLAHASSEE - DOWNTOWN,1027 APALACHEE PKWY,TALLAHASSEE,FL,32301,8508776171
motel6 NORFOLK,853 N MILITARY HWY,NORFOLK,VA,23502,7574612380
motel6 PISCATAWAY,1012 STELTON ROAD,PISCATAWAY,NJ,08854,7329819200
motel6 BOSTON NORTH - DANVERS,65 NEWBURY STREET,DANVERS,MA,01923,9787748045
motel6 ORLANDO - INTERNATIONAL DR,5909 AMERICAN WAY,ORLANDO,FL,32819,4073516500
motel6 OAKLAND - EMBARCADERO,1801 EMBARCADERO,OAKLAND,CA,94606,5104360103
motel6 OGDEN RIVERDALE,1500 WEST RIVERDALE ROAD,OGDEN,UT,84405,8016272880
motel6 EAST BRUNSWICK,244 SR 18,EAST BRUNSWICK,NJ,08816,7323904545
motel6 TWENTYNINE PALMS,72562 TWENTYNINE PALMS H,TWENTYNINE PALMS,CA,92277,7609046992
"motel6 Lansing, MI",7326 W SAGINAW HWY,LANSING,MI,48917,5173211444
motel6 DETROIT NORTHEAST - MADISON HEIGHTS,32700 BARRINGTON RD,MADISON HEIGHTS,MI,48071,2485830500
motel6 CLEVELAND - MIDDLEBURG HEIGHTS,7219 ENGLE RD,MIDDLEBURG HEIGHTS,OH,44130,4402340990
motel6 BILOXI - BEACH,2476 BEACH BLVD,BILOXI,MS,39531,2283882601
motel6 KINGMAN - ROUTE 66 WEST,424 W BEALE ST,KINGMAN,AZ,86401,9288645705
motel6 AUSTIN CENTRAL - SOUTH - UNIV OF TX,5330 N INTERREGIONAL HWY,AUSTIN,TX,78751,5124679111
motel6 SAN ANTONIO DOWNTOWN - MARKET SQUARE,211 N PECOS LA TRINIDAD,SAN ANTONIO,TX,78207,2102251111
motel6 SAN ANTONIO NORTHWEST - MEDICAL CENTER,9400 WURZBACH RD,SAN ANTONIO,TX,78240,2105930013
motel6 TUCSON NORTH,7277 N CAMINO DE OESTE,TUCSON,AZ,85742,5207449300
motel6 HOUSTON - NRG STADIUM,3223 SOUTH LOOP W,HOUSTON,TX,77025,7136646425
motel6 DALLAS - DUNCANVILLE,202 JELLISON BLVD,DUNCANVILLE,TX,75116,9722960345
motel6 WESTMINSTER NORTH,13100 GOLDENWEST ST,WESTMINSTER,CA,92683,7148950042
motel6 HOUSTON - BAYTOWN EAST,8911 N HIGHWAY 146,BAYTOWN,TX,77523,2816916650
motel6 HOUSTON  TX - WEST,14833 KATY FREEWAY,HOUSTON,TX,77094,2814975000
motel6 ST JOSEPH,4021 FREDERICK BLVD,ST JOSEPH,MO,64506,8162322311
motel6 LEXINGTON EAST,2260 ELKHORN RD,LEXINGTON,KY,40505,8592931431
motel6 BILLINGS - NORTH,5353 MIDLAND ROAD,BILLINGS,MT,59101,4062487551
motel6 OMAHA EAST - COUNCIL BLUFFS,3032 S EXPRESSWAY ST,COUNCIL BLUFFS,IA,51501,7123662405
motel6 DENVER CENTRAL - FEDERAL BOULEVARD,3050 W 49TH AVE,DENVER,CO,80221,3034558888
motel6 FLAGSTAFF EAST - LUCKY LANE,2440 E LUCKY LN,FLAGSTAFF,AZ,86004,9287748756
motel6 PHOENIX TEMPE - PRIEST DR,1720 S PRIEST DR,TEMPE,AZ,85281,4809684401
motel6 BALTIMORE - BWI AIRPORT,5179 RAYNOR AVE,LINTHICUM HEIGHTS,MD,21090,4106369070
motel6 SAN SIMEON - HEARST CASTLE AREA,9070 CASTILLO DR,SAN SIMEON,CA,93452,8059278691
motel6 FT PIERCE,2500 PETERS RD,FT PIERCE,FL,34945,7724619937
motel6 SALT LAKE CITY NORTH - WOODS CROSS,2433 S 800 W,WOODS CROSS,UT,84087,8012980289
motel6 MINNEAPOLIS SOUTH - LAKEVILLE,11274  210TH ST W,LAKEVILLE,MN,55044,9524691900
motel6 COOS BAY,1445 N BAYSHORE DR,COOS BAY,OR,97420,5412677171
"motel6 Ann Arbor, MI",3764 S STATE ST,ANN ARBOR,MI,48108,7346659900
motel6 BOSTON WEST - FRAMINGHAM,1668 WORCESTER ROAD,FRAMINGHAM,MA,01702,5086200500
motel6 SAN FRANCISCO - REDWOOD CITY,1101 SHOREWAY RD,BELMONT,CA,94002,6505911471
motel6 LOS ANGELES LAX,5101 W CENTURY BLVD,INGLEWOOD,CA,90304,3104191234
motel6 IRVINE - ORANGE COUNTY AIRPORT,1717 EAST DYER ROAD,SANTA ANA,CA,92705,9492611515
"motel6 Hagerstown, MD",11321 MASSEY BLVD,HAGERSTOWN,MD,21740,3015824445
motel6 CHICAGO WEST - VILLA PARK,10 W ROOSEVELT RD,VILLA PARK,IL,60181,6309419100
motel6 PHILADELPHIA AIRPORT - ESSINGTON,43 INDUSTRIAL HIGHWAY,ESSINGTON,PA,19029,6105216650
motel6 PALM SPRINGS NORTH,63950 20TH AVE,NORTH PALM SPRINGS,CA,92258,7609046993
motel6 YORK NORTH,125 ARSENAL ROAD,YORK,PA,17404,7178438181
motel6 PORTLAND ME,ONE RIVERSIDE STREET,PORTLAND,ME,04103,2077750111
motel6 PHILADELPHIA - KING OF PRUSSIA,815 WEST DEKALB PIKE,KING OF PRUSSIA,PA,19406,6102657200
motel6 PROVIDENCE EAST,821 FALL RIVER AVENUE,SEEKONK,MA,02771,5083367800
"motel6 Duluth, MN",200 S 27TH AVE W,DULUTH,MN,55806,2187231123
motel6 DALLAS - LEWISVILLE,1705 LAKEPOINTE DR,LEWISVILLE,TX,75057,9724365008
motel6 ALBUQUERQUE NORTH,8510 PAN AMERICAN FWY NE,ALBUQUERQUE,NM,87113,5058211472
motel6 PALM BAY,1170 MALABAR RD SE,PALM BAY,FL,32907,3219518222
motel6 DENVER EAST - AURORA,14031 E ILIFF AVE,AURORA,CO,80014,3038730286
motel6 CHICAGO JOLIET - I-55,3551 MALL LOOP DRIVE,JOLIET,IL,60431,8154391332
motel6 PHOENIX TEMPE - BROADWAY - ASU,513 W BROADWAY RD,TEMPE,AZ,85282,4809678696
motel6 BUFFALO - AMHERST,4400 MAPLE ROAD,AMHERST,NY,14226,7168342231
