hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
staystudio6 PHOENIX TEMPE - BROADWAY - ASU,513 W BROADWAY RD,TEMPE,AZ,85282,4809678696
staystudio6 SACRAMENTO - OLD SACRAMENTO NORTH,227 JIBBOOM ST,SACRAMENTO,CA,95814,9164410733
staystudio6 SACRAMENTO NORTH,5110 INTERSTATE AVE,SACRAMENTO,CA,95842,9163318100
staystudio6 LOS ANGELES - HACIENDA HEIGHTS,1154 S 7TH AVE,HACIENDA HEIGHTS,CA,91745,6269689462
staystudio6 SAN JOSE - CAMPBELL,1240 CAMDEN AVE,CAMPBELL,CA,95008,4083718870
staystudio6 PLEASANTON,5102 HOPYARD RD,PLEASANTON,CA,94588,9254632626
staystudio6 LOS ANGELES - NORWALK,10646 ROSECRANS AVE,NORWALK,CA,90650,5628642567
staystudio6 LOS ANGELES - LONG BEACH,5665 E 7TH ST,LONG BEACH,CA,90804,5625971311
staystudio6 SCOTTSDALE SOUTH,1612 N SCOTTSDALE RD,TEMPE,AZ,85281,4809459506
staystudio6 VALLEJO - SIX FLAGS WEST,1455 ENTERPRISE ST,VALLEJO,CA,94589,7076437611
